Year,ZIP CODE,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Total
2009,     ,286,327,299,334,333,462,472,525,422,237,238,277,4212
2009,00000,36,45,41,58,51,30,22,33,17,21,31,25,410
2009,06062,,1,,,3,,1,,4,,1,3,13
2009,06501,,4,6,12,8,2,1,,,4,2,3,42
2009,11209,2,6,3,1,4,3,1,1,,,,,21
2009,22902,2,1,3,2,2,1,,,,,,,11
2009,30108,,1,2,,,2,1,,,2,2,2,12
2009,46307,3,6,2,3,1,3,,,1,4,1,1,25
2009,46312,26,17,10,16,24,16,13,18,21,22,20,17,220
2009,46319,1,3,2,1,3,5,5,5,7,1,4,4,41
2009,46320,9,8,10,6,17,15,23,8,11,10,17,15,149
2009,46321,3,4,4,1,2,2,1,,3,1,,2,23
2009,46322,1,2,5,3,6,1,1,,1,,3,,23
2009,46323,6,7,13,6,6,6,5,7,7,3,7,7,80
2009,46324,14,10,12,16,11,7,7,6,8,12,9,13,125
2009,46327,5,10,7,7,14,11,18,10,5,14,11,9,121
2009,46360,1,,1,4,3,3,2,,,1,,,15
2009,46368,2,2,4,2,4,2,3,,2,1,1,,23
2009,46375,,,,3,2,,2,1,1,,3,2,14
2009,46394,3,5,10,2,3,2,4,2,4,6,4,5,50
2009,46402,10,4,4,,5,4,2,2,2,1,3,3,40
2009,46403,3,2,4,1,11,3,4,1,2,2,4,1,38
2009,46404,3,,4,1,6,5,8,8,12,10,4,4,65
2009,46406,6,4,1,5,6,6,3,6,3,5,6,3,54
2009,46407,3,,4,1,1,1,2,2,2,3,2,1,22
2009,46408,,2,1,3,2,1,1,1,,6,1,3,21
2009,46409,1,1,7,6,3,5,6,6,9,4,5,5,58
2009,46410,,4,3,10,9,6,3,11,9,7,3,10,75
2009,46516,,1,,1,,,1,,,2,2,4,11
2009,46947,,2,1,4,4,1,1,1,,1,,,15
2009,47906,1,1,1,2,5,5,5,2,,,,1,23
2009,53115,,1,1,5,1,,1,,2,,4,1,16
2009,53143,,,4,1,1,,2,,1,,1,3,13
2009,53144,,,,1,2,1,1,3,3,2,,,13
2009,53158,5,5,1,1,,,2,1,,1,,,16
2009,53208,,,,,3,1,2,3,3,1,3,6,22
2009,53210,,1,1,,3,,,1,3,2,,,11
2009,60000,7,5,,6,5,,3,,2,2,4,3,37
2009,60002,1,8,5,8,11,4,11,9,15,14,12,8,106
2009,60004,165,162,133,164,144,151,138,156,156,160,178,168,1875
2009,60005,54,48,56,76,63,74,69,89,67,75,69,85,825
2009,60006,6,5,,,1,1,1,7,1,10,5,,37
2009,60007,68,89,81,89,71,74,85,92,84,81,90,76,980
2009,60008,76,82,74,100,77,92,81,95,93,101,106,111,1088
2009,60010,39,29,22,33,42,37,37,25,22,44,37,50,417
2009,60012,1,4,,2,4,3,3,,,,,1,18
2009,60013,2,4,3,2,1,5,6,8,5,14,5,4,59
2009,60014,11,9,6,23,16,5,11,7,15,8,14,6,131
2009,60015,12,13,8,9,8,5,13,8,7,13,11,10,117
2009,60016,277,329,302,348,336,350,374,416,398,395,418,408,4351
2009,60017,2,1,3,2,2,6,3,3,2,1,,1,26
2009,60018,137,148,137,158,172,145,148,162,143,162,124,128,1764
2009,60019,,2,,3,1,1,3,4,4,4,1,4,27
2009,60020,2,1,1,5,4,1,5,5,5,4,3,5,41
2009,60021,1,2,1,2,4,1,2,3,1,2,3,3,25
2009,60022,4,5,8,6,7,7,6,8,3,2,5,4,65
2009,60025,84,75,84,96,94,88,92,73,92,93,89,82,1042
2009,60026,1,7,7,9,15,22,12,16,17,11,9,17,143
2009,60029,,,1,4,2,2,,,1,2,2,1,15
2009,60030,8,10,6,4,12,14,4,10,4,11,2,15,100
2009,60031,13,8,7,8,6,6,7,6,12,13,14,6,106
2009,60033,,1,1,2,4,7,3,1,12,12,14,6,63
2009,60034,1,2,2,1,1,3,,2,1,1,2,1,17
2009,60035,2,6,6,11,16,5,20,6,12,8,5,12,109
2009,60040,2,4,3,7,2,2,4,2,4,5,13,5,53
2009,60041,3,4,1,3,3,3,1,4,6,6,1,2,37
2009,60042,10,4,7,5,13,8,3,3,7,4,6,6,76
2009,60044,3,2,4,4,3,4,3,2,4,2,,4,35
2009,60045,1,1,2,2,2,1,6,3,1,3,2,3,27
2009,60046,4,4,6,15,13,9,11,4,7,3,5,3,84
2009,60047,20,31,12,16,27,24,24,31,32,38,23,28,306
2009,60048,4,1,2,2,1,1,3,2,4,3,3,2,28
2009,60050,5,11,9,9,7,5,6,6,5,3,9,6,81
2009,60051,1,3,3,1,5,2,3,,,3,4,4,29
2009,60053,72,85,65,88,81,110,123,111,102,74,101,94,1106
2009,60056,155,213,162,254,229,187,254,233,219,273,262,202,2643
2009,60060,20,25,18,20,24,18,35,21,25,21,31,28,286
2009,60061,5,14,11,7,6,15,11,15,15,9,14,15,137
2009,60062,35,26,27,21,37,30,32,37,33,23,35,55,391
2009,60063,,2,,,2,1,1,1,,1,1,2,11
2009,60064,18,37,20,28,21,32,20,36,28,21,40,31,332
2009,60065,1,2,3,,1,2,,3,2,,2,,16
2009,60067,99,104,96,96,123,101,95,76,72,82,88,125,1157
2009,60068,36,43,45,58,56,58,54,51,57,57,73,70,658
2009,60069,3,3,2,8,4,2,6,2,2,1,2,2,37
2009,60070,83,78,70,109,77,82,120,107,125,129,111,123,1214
2009,60071,1,1,2,1,,2,1,2,,,2,1,13
2009,60073,33,25,31,35,24,32,31,47,41,62,43,48,452
2009,60074,676,769,753,862,795,751,826,751,726,854,911,1137,9811
2009,60076,162,154,164,170,220,188,244,216,217,208,249,225,2417
2009,60077,167,207,169,195,210,179,206,190,187,181,199,196,2286
2009,60078,2,2,5,1,2,2,4,,3,2,2,2,27
2009,60081,1,8,4,,5,4,3,3,,,,,28
2009,60083,3,2,5,2,2,3,2,10,4,2,,1,36
2009,60084,5,10,9,9,6,4,8,7,14,12,8,16,108
2009,60085,70,76,80,110,99,76,107,95,97,94,72,69,1045
2009,60087,18,11,14,30,27,17,30,29,26,15,15,19,251
2009,60089,51,44,50,50,46,47,59,34,46,34,39,66,566
2009,60090,218,197,164,222,214,199,218,205,222,220,227,251,2557
2009,60091,14,13,17,16,21,16,11,10,19,11,17,29,194
2009,60093,13,18,6,18,12,18,13,17,18,21,21,29,204
2009,60096,,,1,1,,1,5,8,4,4,1,,25
2009,60097,,2,4,2,,1,,1,,,1,,11
2009,60098,2,3,6,5,3,7,11,5,6,4,4,1,57
2009,60099,16,15,17,13,21,16,15,23,11,20,16,11,194
2009,60101,35,41,56,70,63,54,53,61,51,55,45,62,646
2009,60102,11,4,7,6,6,11,9,5,4,17,5,8,93
2009,60103,43,55,54,47,69,62,55,55,61,71,78,67,717
2009,60104,277,291,266,346,322,315,300,354,378,343,364,309,3865
2009,60106,34,24,38,60,43,52,32,36,45,66,46,32,508
2009,60107,127,135,159,197,184,164,212,167,170,194,179,188,2076
2009,60108,15,25,8,20,11,17,18,21,26,16,8,14,199
2009,60110,30,39,42,56,51,56,61,51,48,39,38,54,565
2009,60115,5,9,7,13,15,11,12,12,10,11,14,13,132
2009,60118,4,11,4,4,5,6,8,2,6,6,2,6,64
2009,60120,87,93,60,95,90,70,92,84,95,86,117,112,1081
2009,60123,32,41,32,35,40,33,41,29,32,38,30,31,414
2009,60124,2,4,9,6,6,5,5,5,3,5,8,3,61
2009,60126,21,21,21,16,13,10,23,25,20,26,33,23,252
2009,60130,171,161,159,184,209,175,213,212,189,212,203,179,2267
2009,60131,108,92,116,126,113,105,119,126,117,117,118,139,1396
2009,60133,131,124,121,131,140,134,158,152,163,155,138,133,1680
2009,60134,4,3,3,3,1,,1,2,2,,1,2,22
2009,60135,4,2,1,2,3,,1,1,,1,1,2,18
2009,60136,,1,3,1,2,,,1,,1,2,,11
2009,60137,13,19,13,19,19,24,14,18,12,17,23,24,215
2009,60139,32,34,35,50,31,37,40,40,41,32,45,38,455
2009,60140,2,3,2,5,,1,3,3,3,3,,,25
2009,60141,5,3,,4,1,2,2,,,,,1,18
2009,60142,2,4,1,4,2,2,4,7,13,7,4,2,52
2009,60143,1,1,4,7,1,5,2,5,2,13,5,5,51
2009,60144,2,,6,2,3,1,2,,,4,,,20
2009,60148,24,30,28,24,25,30,22,22,36,37,38,39,355
2009,60151,,,1,18,1,1,,1,5,1,,,28
2009,60152,3,1,3,4,1,6,3,6,2,1,3,2,35
2009,60153,467,494,503,591,601,578,547,539,518,531,566,502,6437
2009,60154,63,79,76,89,79,79,72,77,77,83,104,91,969
2009,60155,109,99,105,146,138,106,137,130,147,122,115,122,1476
2009,60156,11,9,9,7,11,8,7,11,5,9,10,8,105
2009,60159,1,2,,4,4,5,3,,1,3,,1,24
2009,60160,181,196,249,275,280,287,322,273,269,289,271,290,3182
2009,60161,4,2,5,5,,5,2,4,2,,3,3,35
2009,60162,83,95,106,108,96,84,99,78,100,87,89,89,1114
2009,60163,39,33,34,29,42,37,30,47,45,48,49,42,475
2009,60164,125,150,165,191,197,187,172,171,230,192,218,194,2192
2009,60165,50,57,54,60,75,38,57,52,37,49,47,49,625
2009,60169,83,78,71,108,104,99,124,130,117,119,111,103,1247
2009,60171,84,86,90,105,91,83,78,82,89,94,100,80,1062
2009,60172,14,18,30,27,33,20,13,20,23,19,13,21,251
2009,60173,45,32,49,43,26,30,42,42,40,52,34,33,468
2009,60174,9,5,10,13,12,10,16,10,10,12,11,13,131
2009,60175,1,2,,1,1,3,1,4,,,,,13
2009,60176,107,85,77,97,95,74,100,82,93,93,108,98,1109
2009,60177,7,4,3,2,4,6,5,2,6,4,3,3,49
2009,60178,1,,3,2,2,,2,1,,,,1,12
2009,60181,39,34,26,27,30,24,26,32,25,19,36,30,348
2009,60185,18,17,15,10,8,11,16,13,12,9,6,10,145
2009,60187,21,17,4,16,16,21,13,20,21,21,16,10,196
2009,60188,24,30,22,36,18,15,39,26,33,16,24,11,294
2009,60189,4,4,2,4,5,4,4,4,1,3,4,1,40
2009,60190,2,2,1,1,,2,2,,,1,,,11
2009,60191,17,14,17,15,8,11,8,10,12,17,9,6,144
2009,60192,35,23,13,24,20,23,25,19,36,38,32,22,310
2009,60193,71,63,75,105,74,94,114,89,106,119,97,68,1075
2009,60194,76,112,87,115,111,110,99,114,104,120,147,125,1320
2009,60195,27,19,17,31,40,37,34,40,30,29,45,46,395
2009,60196,,3,,2,4,5,1,2,4,3,,4,28
2009,60201,69,58,61,75,68,62,61,70,80,73,95,74,846
2009,60202,103,84,79,110,133,132,112,111,98,116,153,116,1347
2009,60203,4,6,6,9,8,3,4,6,6,6,7,7,72
2009,60204,2,,8,1,2,7,4,3,5,7,5,5,49
2009,60208,1,2,,3,1,1,1,2,2,2,,,15
2009,60301,11,10,10,15,24,16,14,11,10,11,31,11,174
2009,60302,197,178,191,208,211,203,285,262,247,250,248,223,2703
2009,60303,3,,1,4,5,2,6,9,1,2,4,3,40
2009,60304,98,104,111,113,108,76,102,94,103,117,136,77,1239
2009,60305,19,20,25,27,13,27,34,26,27,27,43,39,327
2009,60401,7,6,8,12,1,20,5,10,6,15,11,5,106
2009,60402,838,884,786,979,904,915,930,909,899,958,1016,864,10882
2009,60403,15,15,17,11,8,5,5,5,4,7,7,6,105
2009,60404,5,3,3,4,,4,,2,1,,1,3,26
2009,60405,2,6,1,,1,3,2,3,3,2,3,4,30
2009,60406,589,595,613,680,653,664,650,729,697,710,728,709,8017
2009,60407,1,2,3,1,,3,2,1,,2,1,,16
2009,60408,1,3,3,1,1,2,2,4,2,2,3,5,29
2009,60409,558,593,554,749,695,664,721,759,724,764,774,718,8273
2009,60410,,,2,2,1,,1,3,3,4,1,,17
2009,60411,922,986,963,1020,1124,1086,1126,1268,1121,1245,1330,1084,13275
2009,60412,5,5,6,10,1,7,3,6,2,2,2,8,57
2009,60415,106,140,105,153,143,125,144,141,149,134,153,134,1627
2009,60416,3,2,2,5,5,2,,2,,1,4,1,27
2009,60417,28,30,18,30,32,35,25,31,30,43,41,40,383
2009,60418,,,1,9,1,,,,,,,,11
2009,60419,446,417,427,514,495,454,504,529,528,532,544,504,5894
2009,60421,,3,,,2,7,4,1,3,,1,1,22
2009,60422,44,34,43,43,41,40,57,43,57,45,56,55,558
2009,60423,23,31,19,24,15,6,11,9,6,19,18,19,200
2009,60424,,2,,1,,2,3,3,2,,3,1,17
2009,60425,98,137,122,168,150,102,125,134,107,143,151,129,1566
2009,60426,978,945,975,1154,1148,1075,1057,1113,1089,1141,1201,1123,12999
2009,60427,1,,,2,4,2,1,2,2,3,1,,18
2009,60428,278,288,296,315,310,324,363,318,338,362,355,303,3850
2009,60429,269,294,300,316,334,296,328,373,333,358,344,308,3853
2009,60430,121,122,136,127,127,109,124,139,125,131,162,157,1580
2009,60431,11,10,19,13,12,12,16,13,8,11,6,11,142
2009,60432,24,15,28,24,23,29,20,37,23,32,30,31,316
2009,60433,10,8,18,11,23,12,15,14,15,10,16,13,165
2009,60435,29,33,25,33,37,28,33,27,42,35,34,22,378
2009,60436,13,16,13,13,23,16,14,16,20,11,9,23,187
2009,60438,196,223,218,251,248,223,253,300,275,285,292,286,3050
2009,60439,29,20,33,41,37,24,33,38,42,40,47,44,428
2009,60440,89,72,94,72,82,82,103,89,86,81,105,80,1035
2009,60441,12,15,13,13,12,16,22,20,12,16,20,10,181
2009,60443,242,268,265,288,300,274,281,267,251,303,327,276,3342
2009,60444,,,1,3,,1,2,,1,2,5,4,19
2009,60445,240,236,242,244,236,249,270,287,273,245,290,283,3095
2009,60446,41,44,42,43,28,33,35,32,44,46,47,39,474
2009,60447,6,6,4,5,4,3,2,2,4,2,4,5,47
2009,60448,2,6,6,3,3,10,6,6,13,9,18,9,91
2009,60449,15,13,18,14,8,12,10,7,7,7,6,4,121
2009,60450,2,3,2,4,4,1,4,2,,,,,22
2009,60451,9,9,6,3,1,3,5,1,5,12,4,3,61
2009,60452,261,229,260,285,243,271,302,305,307,314,336,319,3432
2009,60453,287,314,279,361,342,327,388,412,376,364,342,359,4151
2009,60454,1,1,,,2,1,,6,,2,6,1,20
2009,60455,148,153,150,157,172,157,146,142,152,126,155,127,1785
2009,60456,33,37,49,24,35,34,29,38,29,31,55,49,443
2009,60457,82,106,95,119,94,107,112,92,94,97,116,93,1207
2009,60458,126,161,167,188,169,170,183,168,137,180,178,137,1964
2009,60459,231,195,188,282,255,236,331,257,254,269,274,225,2997
2009,60461,27,26,30,32,25,20,24,30,25,24,32,29,324
2009,60462,115,135,151,161,155,146,199,177,158,171,135,187,1890
2009,60463,23,31,23,25,23,24,21,28,25,15,21,19,278
2009,60464,19,22,9,22,12,16,17,12,13,8,13,21,184
2009,60465,100,90,92,121,108,79,74,73,110,94,93,111,1145
2009,60466,278,280,297,340,396,314,363,455,350,358,403,361,4195
2009,60467,31,27,25,33,30,27,47,48,41,41,43,45,438
2009,60468,1,3,4,5,4,5,3,2,1,1,1,1,31
2009,60469,86,94,97,131,113,127,137,126,112,122,107,124,1376
2009,60471,150,157,146,166,153,185,184,178,162,171,203,190,2045
2009,60472,211,236,209,198,217,255,246,298,241,269,310,294,2984
2009,60473,287,319,315,328,345,299,326,335,347,361,388,315,3965
2009,60475,44,50,53,47,66,52,61,48,44,60,57,54,636
2009,60476,15,18,14,19,18,21,18,11,17,21,23,13,208
2009,60477,208,218,195,240,215,248,237,245,228,232,266,241,2773
2009,60478,272,251,270,294,289,300,317,335,304,326,335,325,3618
2009,60480,6,15,6,23,19,8,10,5,13,13,10,22,150
2009,60481,1,4,2,6,3,4,2,4,,1,1,4,32
2009,60482,79,100,92,106,72,93,105,84,84,104,90,68,1077
2009,60484,2,1,3,2,4,1,,3,5,3,6,14,44
2009,60487,33,43,50,52,59,54,71,76,60,64,73,63,698
2009,60490,10,9,6,10,14,5,11,16,24,19,20,28,172
2009,60491,7,11,6,14,19,16,3,4,13,16,13,15,137
2009,60501,104,115,119,141,142,151,140,141,151,126,181,149,1660
2009,60502,7,5,5,2,4,4,6,7,8,17,6,6,77
2009,60503,3,4,1,,4,,3,4,3,2,4,,28
2009,60504,7,11,12,19,13,12,21,25,11,24,9,9,173
2009,60505,50,72,52,73,77,60,61,57,59,60,74,47,742
2009,60506,28,53,40,25,33,25,25,25,29,44,43,30,400
2009,60510,6,4,7,4,4,3,4,3,5,13,3,5,61
2009,60513,62,78,53,74,99,75,77,71,66,71,74,62,862
2009,60514,4,1,3,4,7,7,5,2,7,11,10,5,66
2009,60515,3,7,3,4,2,6,4,4,7,7,14,16,77
2009,60516,5,14,11,20,5,7,16,3,16,9,11,13,130
2009,60517,27,33,17,24,31,23,31,25,19,29,47,48,354
2009,60521,19,10,9,11,12,9,9,6,7,5,8,4,109
2009,60523,,,2,,4,1,5,,,,4,1,17
2009,60525,68,88,100,107,99,101,91,104,92,120,96,101,1167
2009,60526,18,30,37,28,23,32,38,30,20,18,23,14,311
2009,60527,27,27,32,33,21,27,31,30,31,34,30,45,368
2009,60532,7,4,4,5,8,7,13,14,7,9,10,10,98
2009,60534,79,75,95,129,126,120,117,116,112,106,130,99,1304
2009,60538,,3,4,7,7,7,3,9,9,11,3,3,66
2009,60540,6,14,7,5,11,4,20,7,7,9,7,11,108
2009,60542,2,2,2,5,2,6,4,6,10,4,7,6,56
2009,60543,3,6,1,6,1,2,4,,2,5,13,5,48
2009,60544,10,8,14,13,9,15,17,11,15,12,14,10,148
2009,60545,1,3,4,3,2,1,1,,7,,2,2,26
2009,60546,44,45,40,53,41,53,41,49,38,61,47,46,558
2009,60547,,2,,,5,3,2,1,,,,,13
2009,60548,,1,2,3,4,,1,2,4,1,3,,21
2009,60553,1,1,2,2,,1,2,1,2,2,,,14
2009,60555,11,12,4,11,9,6,10,11,1,8,6,10,99
2009,60558,10,7,7,2,9,6,12,8,5,6,5,5,82
2009,60559,26,32,27,36,41,17,41,29,35,26,18,15,343
2009,60560,1,1,6,,,1,1,,,,2,,12
2009,60561,18,10,10,16,20,30,25,26,17,23,16,12,223
2009,60563,13,9,4,16,12,15,18,26,15,9,17,16,170
2009,60564,15,15,13,11,11,13,16,6,13,9,17,24,163
2009,60565,7,16,8,5,12,16,14,11,12,6,13,16,136
2009,60585,,1,,1,,,1,5,1,2,2,4,17
2009,60586,19,14,11,17,19,14,17,21,20,12,19,20,203
2009,60600,34,28,21,12,20,10,18,26,8,26,19,17,239
2009,60601,48,43,43,64,70,56,74,49,49,53,51,40,640
2009,60602,25,28,23,25,27,20,14,17,19,27,19,25,269
2009,60603,16,8,4,8,13,10,7,18,17,22,15,5,143
2009,60604,31,36,42,47,38,37,43,31,37,37,42,34,455
2009,60605,212,239,165,210,224,200,222,219,208,240,233,195,2567
2009,60606,26,29,41,33,43,37,33,41,32,28,25,23,391
2009,60607,620,653,600,714,649,650,663,693,716,718,704,665,8045
2009,60608,2160,2186,2057,2443,2431,2255,2514,2404,2332,2508,2620,2354,28264
2009,60609,2079,2091,2017,2352,2281,2202,2223,2238,2122,2360,2487,2133,26585
2009,60610,365,386,386,475,465,391,401,362,359,419,390,326,4725
2009,60611,44,53,58,60,80,74,57,62,64,69,51,61,733
2009,60612,2241,2367,2221,2515,2466,2248,2348,2299,2193,2426,2358,2315,27997
2009,60613,310,319,285,330,332,279,276,304,346,388,343,319,3831
2009,60614,211,249,214,245,247,247,265,257,257,251,266,248,2957
2009,60615,1267,1381,1304,1631,1431,1377,1459,1419,1360,1448,1513,1288,16878
2009,60616,779,752,823,933,917,866,852,904,804,866,871,831,10198
2009,60617,1814,2000,2071,2349,2313,2156,2410,2282,2279,2363,2423,2151,26611
2009,60618,1300,1440,1296,1510,1564,1387,1482,1520,1493,1480,1538,1465,17475
2009,60619,2439,2467,2365,2961,2842,2563,2739,2650,2586,2795,2764,2548,31719
2009,60620,2744,2811,2797,3142,3094,2966,3253,3121,2888,3257,3247,2942,36262
2009,60621,1746,1838,1799,2110,1956,1932,1945,1865,1811,1967,1978,1758,22705
2009,60622,870,907,811,955,840,764,859,868,824,856,898,786,10238
2009,60623,2995,3088,2834,3455,3273,3148,3415,3418,3234,3475,3817,3574,39726
2009,60624,2066,2292,2111,2544,2383,2221,2232,2208,2280,2324,2425,2135,27221
2009,60625,1161,1227,1171,1274,1318,1228,1358,1287,1311,1316,1352,1232,15235
2009,60626,697,754,755,934,857,768,790,840,780,781,874,743,9573
2009,60627,31,30,37,56,36,36,27,40,27,39,44,45,448
2009,60628,2182,2415,2300,2685,2608,2442,2631,2606,2587,2660,2784,2490,30390
2009,60629,2609,2738,2573,3189,2991,2885,3032,2921,2846,3082,3194,2890,34950
2009,60630,490,561,498,619,565,544,543,585,541,578,563,490,6577
2009,60631,88,93,82,105,91,89,107,85,99,90,92,77,1098
2009,60632,1844,1973,1826,2072,2012,1919,2137,2027,2029,2066,2306,2117,24328
2009,60633,141,180,166,154,161,145,198,213,160,176,200,182,2076
2009,60634,800,853,760,853,883,832,891,905,876,977,931,923,10484
2009,60635,12,11,6,18,16,11,11,6,9,12,7,10,129
2009,60636,2107,2187,2137,2540,2429,2310,2346,2318,2294,2506,2501,2356,28031
2009,60637,1739,1735,1672,2040,1913,1860,1980,1900,1827,1995,1964,1714,22339
2009,60638,505,537,566,579,588,548,556,611,587,582,694,546,6899
2009,60639,1989,2247,2103,2477,2443,2329,2461,2420,2388,2509,2524,2344,28234
2009,60640,1015,1041,1006,1085,1102,1107,1108,1071,1025,1084,1064,999,12707
2009,60641,1127,1152,1103,1266,1332,1191,1247,1290,1255,1385,1304,1283,14935
2009,60642,92,71,44,82,81,64,81,106,106,93,102,80,1002
2009,60643,1012,1024,1004,1151,1082,1007,1096,1102,1027,1106,1199,985,12795
2009,60644,2275,2401,2294,2684,2508,2360,2546,2337,2375,2487,2656,2279,29202
2009,60645,677,611,642,726,690,653,676,661,633,685,669,593,7916
2009,60646,114,123,114,116,129,145,140,116,110,125,147,138,1517
2009,60647,1443,1638,1495,1686,1829,1694,1764,1701,1708,1779,1865,1641,20243
2009,60648,13,14,9,6,9,10,11,5,5,8,2,1,93
2009,60649,1762,1844,1812,2049,2040,1900,2036,2134,2103,2056,2185,1957,23878
2009,60650,29,31,26,31,19,18,29,20,10,17,18,9,257
2009,60651,2392,2557,2317,2775,2774,2491,2523,2649,2739,2678,2892,2529,31316
2009,60652,566,620,595,678,612,640,672,618,619,692,712,615,7639
2009,60653,1355,1376,1389,1538,1481,1406,1420,1475,1388,1523,1645,1287,17283
2009,60654,46,38,34,60,61,31,31,60,59,53,67,41,581
2009,60655,66,74,75,65,62,78,89,72,93,94,106,96,970
2009,60656,165,151,163,194,188,212,208,185,178,189,215,189,2237
2009,60657,241,236,255,269,236,228,222,226,224,259,229,211,2836
2009,60658,8,15,11,11,8,7,10,6,6,11,7,1,101
2009,60659,474,502,509,571,613,565,594,586,535,610,620,504,6683
2009,60660,589,668,628,658,693,700,738,721,766,752,797,711,8421
2009,60661,17,27,28,33,21,26,20,21,18,20,17,22,270
2009,60662,3,,1,3,2,1,1,2,,,2,4,19
2009,60663,6,,2,1,1,,2,,5,6,8,2,33
2009,60664,6,3,4,3,3,1,12,4,5,7,3,6,57
2009,60666,6,7,3,2,1,2,1,,,4,6,3,35
2009,60667,1,2,1,3,4,,,2,,,,,13
2009,60668,1,2,2,1,2,1,4,3,6,2,1,2,27
2009,60669,5,3,1,6,10,7,9,3,11,7,,10,72
2009,60670,,2,1,1,3,,4,3,1,5,1,1,22
2009,60673,,3,2,,,,1,,7,1,1,2,17
2009,60676,1,1,,,3,3,2,3,2,,5,1,21
2009,60677,,1,,1,1,,3,1,3,2,2,1,15
2009,60678,1,,3,,1,3,1,2,3,,,,14
2009,60680,35,32,37,49,43,30,46,56,56,47,43,55,529
2009,60681,4,2,4,1,1,,,,1,,,6,19
2009,60682,,1,,,1,3,,6,5,3,6,3,28
2009,60684,1,6,2,,6,2,,4,5,5,5,3,39
2009,60685,4,1,3,2,2,1,2,2,5,5,,2,29
2009,60690,21,31,27,23,30,23,21,21,21,20,28,29,295
2009,60693,1,1,3,1,1,3,,1,1,2,4,4,22
2009,60699,,,,2,3,1,4,6,2,3,3,1,25
2009,60706,131,106,122,136,118,95,140,133,121,122,122,107,1453
2009,60707,405,399,418,477,477,433,458,470,426,446,471,440,5320
2009,60712,55,57,53,66,51,48,57,57,52,50,51,54,651
2009,60714,129,144,148,127,154,133,140,159,136,171,130,161,1732
2009,60802,1,,1,,,,2,1,1,1,6,2,15
2009,60803,195,175,184,217,194,174,198,237,238,258,281,238,2589
2009,60804,2388,2521,2434,2863,2869,2543,2562,2626,2541,2822,2870,2837,31876
2009,60805,108,104,132,150,107,123,126,117,142,139,139,151,1538
2009,60807,,,1,,1,2,1,1,,2,3,,11
2009,60808,1,1,1,3,4,2,7,4,2,2,,,27
2009,60827,572,639,608,768,747,709,779,795,769,814,871,764,8835
2009,60828,5,9,8,6,4,,6,7,8,7,5,2,67
2009,60901,30,16,18,30,22,18,15,23,16,15,19,21,243
2009,60910,5,1,1,3,2,2,,1,1,4,1,,21
2009,60914,2,2,6,10,6,7,2,4,2,9,10,8,68
2009,60915,3,3,6,4,3,3,3,5,6,4,8,10,58
2009,60950,3,1,3,3,5,5,10,6,2,2,8,3,51
2009,60954,3,12,5,2,4,2,9,7,3,3,8,4,62
2009,60964,,,4,3,6,,2,1,4,5,3,4,32
2009,60970,,,1,,,,4,1,1,1,4,6,18
2009,61008,2,3,4,8,5,4,8,4,,6,3,6,53
2009,61021,2,2,2,2,5,1,2,2,,1,1,,20
2009,61031,1,2,,1,1,,1,2,2,3,2,2,17
2009,61061,,2,5,3,1,3,1,1,1,,1,,18
2009,61065,,,1,3,1,1,3,1,4,,,,14
2009,61101,3,3,2,,3,,1,6,3,2,5,6,34
2009,61102,3,5,,2,3,1,1,3,2,2,5,1,28
2009,61103,5,1,5,7,8,8,5,5,6,5,11,10,76
2009,61104,4,2,5,3,7,6,10,9,7,4,7,3,67
2009,61107,3,1,1,,2,,5,6,3,4,2,7,34
2009,61108,3,1,1,4,1,1,1,,2,,3,3,20
2009,61109,1,,,1,4,2,3,1,1,1,,1,15
2009,61111,7,3,1,3,8,3,1,2,,3,3,2,36
2009,61244,6,1,3,3,2,2,,3,3,4,3,5,35
2009,61265,,,,,1,1,,,5,2,2,,11
2009,61350,,1,1,1,4,2,2,,,,3,2,16
2009,61364,,,,,2,,1,1,,2,4,1,11
2009,61376,4,8,2,1,2,2,,1,2,,,,22
2009,61401,,2,,,1,,,2,1,1,3,5,15
2009,61443,7,2,4,,2,,,,,,,2,17
2009,61612,4,6,,1,2,1,1,2,,,2,,19
2009,61701,,,,1,2,2,,6,1,,1,,13
2009,61704,2,1,1,1,1,2,,1,,,,2,11
2009,61820,4,5,3,2,1,3,,2,2,1,1,,24
2009,61821,,1,1,2,1,3,2,1,2,1,2,2,18
2009,61832,1,3,1,3,3,3,3,3,9,2,2,3,36
2009,61834,,,,1,4,1,2,1,4,,,1,14
2009,62703,,,,1,,4,1,1,1,,1,2,11
2009,66063,2,2,5,1,2,2,2,1,3,1,,1,22
2009,66064,,,2,,1,,1,2,,1,1,3,11
2009,71601,2,,2,,3,,2,,1,2,2,1,15
2009,99999,9,22,2,3,2,3,1,2,1,,,,45
Total,,79703,83915,80561,94185,91724,86473,91768,91149,88714,93600,96912,88308,1067012
